Region,Year,Population,Number of beds,Number of specialists with secondary medical education,Number of specialists with higher medical education,The number of people with newly diagnosed viral Hepatitis,The number of people with newly diagnosed viral Hepatitis A,The number of people diagnosed with Alcohol Dependence,The number of people diagnosed with Tuberculosis ,The number of people diagnosed with Diabetes Mellitus for the first time,The number of people diagnosed with a Drug Addiction disorder,The number of new cases of Syphilis,The number of new cases of Acute Intestinal Infections,The number of new cases of Brucellosis
Kyrgyz_Republic,2009,5384986,25975,28201,12488,14160,13259,3164,5595,3324,862,1201,24844,3619
Kyrgyz_Republic,2010,5450049,25919,28570,12685,11292,10479,2926,5510,4252,708,906,27044,3991
Kyrgyz_Republic,2011,5512948,25906,30148,12954,13245,12401,3103,5535,4866,772,937,28478,4405
Kyrgyz_Republic,2012,5609779,26008,31081,12961,22226,21377,2741,5851,5368,2741,785,33782,2296
Kyrgyz_Republic,2013,5721680,25810,31928,13099,20488,19788,1785,5859,5477,1785,1058,29054,1375
Kyrgyz_Republic,2014,5833828,25789,32440,13432,12024,11351,1597,5898,5389,1597,1078,30234,1124
Kyrgyz_Republic,2015,5960285,25533,33187,13425,11252,10690,1401,5853,5553,388,675,29705,911
Kyrgyz_Republic,2016,6081370,25421,33788,13620,14615,13983,1697,5680,5278,388,675,30677,925
Kyrgyz_Republic,2017,6198675,25293,34033,13709,8937,8395,1428,5616,5781,267,428,32081,1014
Kyrgyz_Republic,2018,6354217,24965,34084,13768,10373,9758,1163,5274,6594,220,459,31488,787
Kyrgyz_Republic,2019,6378961,24928,33987,13584,10579,10060,1175,5033,7146,116,309,32866,869
Kyrgyz_Republic,2020,6585047,25262,33881,13490,4805,4650,281,3523,7515,145,301,11041,582
Kyrgyz_Republic,2021,6705680,25713,33881,12723,4623,4467,213,3896,7086,129,292,21924,569
Kyrgyz_Republic,2022,6747323,25265,33212,11956,4440,4284,213,3984,6657,30,284,33355,556
Kyrgyz_Republic,2023,7037590,25083,31039,11189,4258,4101,300,3782,6229,52,275,32497,542
Kyrgyz_Republic,2024,7281800,25320,28865,10422,4076,3918,313,3581,5800,74,267,28386,529
Kyrgyz_Republic,2025,6742066,23398,26692,9655,3893,3735,327,3379,5371,96,258,26289,516
Chui,2009,804997,2252,2786,1217,1887,1723,473,1160,654,340,165,3224,370
Chui,2010,811625,2262,2758,1204,1441,1723,492,1159,801,255,128,3822,460
Chui,2011,818521,2262,2953,1241,1401,1329,541,1096,898,261,113,4211,407
Chui,2012,830556,2257,2990,1230,4059,3922,595,1196,1172,595,113,5365,193
Chui,2013,845805,2257,3013,1251,2871,2787,432,1119,967,432,88,4069,114
Chui,2014,862229,2203,3021,1290,1241,1164,310,1114,982,310,114,4046,97
Chui,2015,879237,2203,3129,1287,1360,1293,264,1245,952,108,76,4796,76
Chui,2016,896450,2197,3152,1327,1545,1454,453,1212,876,108,76,5220,116
Chui,2017,913363,2152,3158,1330,1036,969,300,1244,818,103,62,5504,116
Chui,2018,975845,2132,3178,1340,1015,923,246,1212,1057,57,90,5094,82
Chui,2019,927852,2122,3178,1253,1132,1068,307,1106,1261,55,45,5050,123
Chui,2020,966871,2318,3111,1240,408,376,71,788,997,72,46,1635,71
Chui,2021,967978,2318,3111,1309,472,430,50,869,975,60,46,2955,71
Chui,2022,969086,2105,3150,1379,535,484,50,904,952,10,47,3997,72
Chui,2023,970193,2015,3123,1448,599,539,54,906,930,33,48,5040,72
Chui,2024,971300,2185,3097,1517,662,593,169,908,908,55,48,4037,72
Chui,2025,960316,2184,3070,1587,726,647,284,910,885,78,49,4116,73
Bishkek_city,2009,839495,2174,2777,2349,1426,1243,1546,931,640,326,56,4981,76
Bishkek_city,2010,853333,2174,2860,2401,1161,938,1402,896,879,300,56,3927,205
Bishkek_city,2011,867414,2174,3024,2446,1368,1169,1440,929,834,330,57,3394,208
Bishkek_city,2012,884777,2174,3141,2405,3599,3443,1130,1052,879,1130,58,4272,116
Bishkek_city,2013,905428,2124,3315,2326,2662,2522,405,1101,839,405,58,3734,26
Bishkek_city,2014,926829,2124,3314,2383,1357,1223,377,1102,925,377,59,4283,23
Bishkek_city,2015,947871,2109,3483,2381,1214,1096,345,1091,885,152,60,4030,15
Bishkek_city,2016,969307,2042,3521,2399,1499,1337,440,979,980,152,60,4164,49
Bishkek_city,2017,990973,2052,3505,2468,1064,917,348,988,1111,88,61,4741,34
Bishkek_city,2018,1009009,2069,3494,2521,951,811,285,896,1056,74,62,4832,29
Bishkek_city,2019,1001181,2069,3494,2455,1071,970,287,848,1397,28,62,5213,18
Bishkek_city,2020,1063584,2022,3569,2448,518,472,65,552,1180,30,63,1500,22
Bishkek_city,2021,1128163,2093,3570,2401,700,651,76,635,1137,34,63,2690,49
Bishkek_city,2022,1192742,1977,3499,2353,882,830,76,676,1094,16,64,8206,76
Bishkek_city,2023,1257321,1977,3690,2306,1063,1008,78,707,1052,18,65,7438,103
Bishkek_city,2024,1321900,2276,3881,2258,1245,1187,104,737,1009,19,65,9295,130
Bishkek_city,2025,1304204,2518,4072,2211,1427,1366,130,768,966,21,66,8790,156
Osh,2009,1109548,5174,6171,1690,3426,3332,416,1104,496,39,73,3239,452
Osh,2010,1124031,5174,6257,1741,2475,566,394,1015,772,18,51,3805,463
Osh,2011,1139080,5139,6630,1814,3182,3098,348,991,864,25,75,4144,555
